SName,Lyric,Artist,Genres
Paper And Ink,"Touched the mirror
Broke the surface of the water
Saw my true self
All illusions shattered

Money's only paper only ink
We'll destroy ourselves if we can't agree
How the world turns
Who made the sun
Who owns the sea
The world we know will fall piece by piece

Sat down up close to the colored black hole
Like they'd always told me not to
Saw the one dimension polka dot pacifier
And all illusions shattered

Money's only paper only ink
We'll destroy ourselves if we can't agree
How the world turns
Who made the sun
Who owns the sea
The world we know will fall piece by piece

Bared myself wholly heart and body unadorned
Stripped down solely
To the evil and the good
Felt no shame
Naked to the world
And all illusions shattered

Money's only paper only ink
We'll destroy ourselves if we can't agree
How the world turns
Who made the sun
Who owns the sea
The world we know will fall piece by piece

Faced towards the sea
Looked to heaven up above
Felt the world revolve around me
No one could tell me otherwise
But the turbulent waters won't reflect this life
Only the sun the moon and sky
And all illusions shattered

Money's only paper only ink
We'll destroy ourselves if we can't agree
How the world turns
Who made the sun
Who owns the sea
The world we know will fall piece by piece

Money's only paper only ink",Tracy Chapman,Pop
Remember The Tinman,"There are locks on the doors
And chains stretched across all the entries to the inside
There's a gate and a fence
And bars to protect from only God knows what lurks outside
Who stole your heart left you with a space
That no one and nothing can fill
Who stole your heart who took it away
Knowing that without it you can't live
Who took away the part so essential to the whole
Left you a hollow body
Skin and bone
What robber what thief who stole your heart and the key

Who stole your heart
The smile from your face
The innocence the light from your eyes
Who stole your heart or did you give it away
And if so then when and why
Who took away the part so essential to the whole
Left you a hollow body
Skin and bone
What robber what thief
Who stole your heart and the key

Now all sentiment is gone
Now you have no trust in no one

Who stole your heart
Did you know but forget the method and moment in time
Was it a trickster using mirrors and sleight of hand
A strong elixir or a potion that you drank
Who hurt your heart
Bruised it in a place
That no one and nothing can heal

You've gone to wizards, princes and magic men
You've gone to witches, the good the bad the indifferent
But still all sentiment is gone
But still you have no trust in no one

If you can tear down the walls
Throw your armor away remove all roadblocks barricades
If you can forget there are bandits and dragons to slay
And don't forget that you defend an empty space
And remember the tinman
Found he had what he thought he lacked
Remember the tinman
Go find your hear and take it back

Who stole your heart
Maybe no one can say
One day you will find it I pray",Tracy Chapman,Pop
Save A Place For Me,"Save a place for me
Save a space for me
In your heart
In your heart
Save a place for me
Save a space for me
In your heart
In your heart


If you wait - I will come for you
If you wait - I will come for you
If you wait - I will come for you
If you wait
If you wait
If you wait",Tracy Chapman,Pop
Say Hallelujah,"Say Hallelujah
Throw up your hands
The bucket is kicked
The body is gone

Close your eyes
And bow your head
To rest your soul
And to praise the dead

Say Hallelujah
Throw up your hands
The bucket is kicked
The body is gone

Dry your eyes
And stand upright
Put a smile on your face
He wouldn't want us to cry

The sun will rise
The stars will shine
Turning day to dusk
And night to dawn
We'll pass on
But until that time

Say Hallelujah
Hallelujah
Say Hallelujah
Hallelujah

Say Hallelujah
Throw up your hands
The bucket is kicked
The body is gone

Have mercy
It's a wonderful life
Eternal rest for the weary
Mourners party tonight

Say Hallelujah
Throw up your hands
The bucket is kicked
The body is gone

Wave your hands
But don't say goodbye
We're all gonna meet you
On the other side",Tracy Chapman,Pop
She's Got Her Ticket,"She's got her ticket
I think she gonna use it
I think she going to fly away
No one should try and stop her
Persuade her with their power
She says that her mind is made
Up

Why not leave why not
Go away
Too much hatred
Corruption and greed
Give your life
And invariably they leave you with
Nothing

Young girl ain't got no chances
No roots to keep her strong
She's shed all pretenses
That someday she'll belong
Some folks call her a runaway
A failure in the race
But she knows where her ticket takes her
She will find her place in the sun

And she'll fly, fly, fly...
",Tracy Chapman,Pop
Short Supply,"Where are
The sunny days
The blue skies
The flowers for the children
The colors for their eyes?

Don't you see
Don't you see
All these things now days
Come in short supply

It's time that we
It's time that we
Make a space in our hearts
And open our eyes

Where are
All the sandy beaches
Fishes in the sea
Birds to sing for daybreak?
Where are all the trees?

Don't you see
Don't you see
All these things now days
Come in short supply

It's time that we
It's time that we
Make a space in our hearts
And open our eyes

Where are all the grassy hilltops
Clean air to breathe
Pure water to drink of
Beautiful sights to see?

Don't you see
Don't you see
All these things now days
Come in short supply

It's time that we
It's time that we
Make a space in our hearts
And open our eyes

Or there'll be no more you
There'll be no more me
There'll be no more children
All we know will cease to be

Don't you see
Don't you see
The things of this earth
Keep us alive

It's time that we
It's time that we
Make a space in our hearts
And open our eyes

Where are the sunny days?
Blue skies
The flowers for the children
All the colors for their eyes
All the sandy beaches
Fishes in the sea
All the birds to sing for daybreak
Where are
Where are
Where are all the trees?

Don't you see
All these things they come in short supply
It's time that we
Make a space inside our hearts
And open our eyes",Tracy Chapman,Pop
Smoke And Ashes,"I'd heard rumors and I'd heard talk
About the trail you'd left of broken hearts
About the sea of tears too wide to cross
But a little bad press has never scared me off
So I burned a path to figure out
How to get me some of what you got
I've got a red hot heart
If the talk is true your's is the same
And we should be together
And let our passions fan love's flame

When I looked for you I almost passed you by
You were so cool and calm I thought my friends had lied
But I thought so much reserve must make you wild inside
It was there and then that I knew I had to get some of what you got

I've got a red hot heart
If the talk is true your's is the same
And we should be together
And let our passions fan love's flame

I thought I'd won your heart when I held you hand in mine
I thought it was true love the way we complemented each other
But my right is your wrong
And when you're right then I'm left with nothing
Your light and your heat have all been spent
Leaving only smoke and ashes
Only smoke and ashes baby

I've got a red hot heart
Any your heart's as blue as the blood in your veins
I say there's fire down below
You say it's only smoke and ashes baby

I'm crying all the time
Salty stinging tears
And mourning for the past carbon-dated years
But knowing now for certain that you were always right
Because if a breeze could blow you out of my life
It's only smoke and ashes baby
Only smoke and ashes baby

I've got a red hot heart
And your heart's as blue as the blood in your veins
I say there's fire down below
You say it's only smoke and ashes baby

I was blinded by devotion
My unwavering love for you
So blinded that I thought all your lies were true
But now I know for certain since you've gone away
It was just a smoldering fire I mistook for a blaze
Only smoke and ashes baby

I've got a red hot heart
And your heart's as blue as the blood in your veins
I say there's fire down below
You say it's only smoke and ashes baby
Only smoke and ashes baby, baby ...",Tracy Chapman,Pop
So,"So you make a little money
Off of somebody else's sweat
So some people starve a little
While you get fat
While you get fat

So you grind and grind
And you push and shove
And claim that those most worthy
Will get what they deserve
What they deserve

It can't be true
It can't be true
Because I've seen too many hungry faces
I've seen too many with the likes of you
It can't be true

For you everything has it's price
You give nothing away for free
If silence were truly golden
I guess no one could sleep
No one could sleep

You have money at your fingertips
People at your beck and call
And you're fool enough
To think for a price
You can have the whole wide world

For all our sake's
And all our lives
We must hope the words
That come from your lips
We must hope those words are lies

For all our sake's
And all our lives
We must hope the dreams
Soulless visions that you have
Are never realized

So
You've got a big house
And you drive a fancy car
So what if your pockets are full
If you have an empty heart

You snap your fingers
And all the waters part
So what if the people bow down
If they show you no regard

Your left hand
Always watches your right
So what if you trust in God
If you can't sleep at night

You think you've made it
You think you've got what everyone wants
So what if you're a big fat man
With an empty little heart

Who has made a little money
Off of somebody else's sweat
Who watched the people starve
While you got fat
While you got fat
You got fat
You got fat",Tracy Chapman,Pop
Something to See,"No war no greed
That would be something to see
I hope I live that long

No blood in the streets
Just a distant memory
The history books recount

Now were all free
Now were all free

No war no greed
That would be something to see
I hope I live that long

No want no need
The struggle to end poverty
Finally has been won

Now were all free
Now were all free

No war no greed
That would be something to see
I hope I live that long

Hold my constitution
And have the courage of heart and mind
To right what is wrong

Now were all free
Now were all free

But now you can't believe
What you're told
You can't believe what you hear
The speeches of the politicians
Ring untrue and insincere
You can't believe what you read
You can't believe what's said
They count the targets and the bombs
But do not count the dead
They do not count the dead

No war no greed
That would be something to see
I hope I live that long

Not lose my faith
In every word on the page
In the face of freedom

No war no greed
No war no greed
No war no greed",Tracy Chapman,Pop
Speak The Word,"Unsettled hearts
Promise what they can't deliver
Bring me the wine
And the cold night air to clear my head
Gray matter memory house
Master of this trembling flesh
Steady still my doubts
Let me speak the word that precedes bliss
Let me speak the word
Let me speak the word

Love love love love love love love love

Let me speak the word
Let me speak the word

Love love love love love love love love

Let me speak the word
Let me speak the word

Let me speak the word
Let me speak the word

These weakened knees
Have not touched ground or pew in ages
I haven't bowed my head
To offer thanks to any god or to ask for favors
But watch me now
I'm falling down
Praying
To speak the word that precedes bliss
To speak the word
To speak the word

Love love love love love love love love

Let me speak the word
Let me speak the word

Love love love love love love love love

Let me speak the word
Let me speak the word

Let me speak the word
Let me speak the word",Tracy Chapman,Pop
Spring,"Spring
Tracy Chapman
Composição: Indisponível

There's a cloud
There's a cloud
A blue sky
Darkening
That veils
The light
Of the sun
And foretells
The rain
But there's
A bird
There
Are birds
And some
Are singing

To greet
Every new day
That may come
Like the first
Of spring

It is cold
It is cold
I've had
The feeling
At the heart
And in the core
The roots
Of all things
But there's
A bud
There's a bulb
It will be
Blooming

To greet
Every new day
That may come
Like the first
Of spring

It's late
It's late
As I watch
Waiting
It will go
Turn away
The cycle
Cycling
There's a face
With new eyes
A baby crying

Who'll greet
Every new day
That may come
Like the first
Of spring

Like the first
Of spring",Tracy Chapman,Pop
Subcity,"People say it doesn’t exist
’cause no one would like to admit
That there is a city underground
people who live everyday
Off the waste and decay
Off the discards of their fellow man
Here in subcity life is hard
We can’t receive any government relief
I’d like to please give mr president my honest regards
For disregarding me

They say there’s too much crime in these city streets
My sentiments exactly
Government and big business hold the purse strings
When I worked I worked in the factories
I’m at the mercy of the world
I guess I’m lucky to be alive

They say we’ve fallen through the cracks
They say the system works
But we won’t let it
Help
I guess they never stop to think
We might not just want handouts
But a way to make an honest living
Living this ain’t living

What did I do deserve this
Had my trust in god
Worked everyday of my life
Thought I had some guarantees
That’s what I thought
At least that’s what I thought

Last night I had another restless sleep
Wondering what tomorrow might bring
Last night I dreamed
A cold blue light was shining down on me
I screamed myself awake
Thought I must be dying
Thought I must be dying",Tracy Chapman,Pop
Sweet One,"My sweet one
My sad-eyed little lover
My sweet one
I swear there are no others
But you, but you, but you, but you, but you

Baby
At night-time
Only sometime
I get kind of lonely
And this old roaming heart of mine
It starts searching on its own, and
I swear my love is true
And I give it all to you
Baby

Well those sweet sad eyes
Don't you know they call me back
Everytime
I try to go astray
And the image of you
Don't you know it always lingers on my mind
Every minute of the day

My sweet one
My sad-eyed little lover
My sweet one
I swear there are no others
But you, but you, but you, but you, but you

Baby
Well those sweet sad eyes
Don't you know they call me back
Everytime
I try to go astray
And the image of you
Don't you know it always lingers on my mind
Every minute of the day

My sweet one
My sad-eyed little lover
My sweet one
I swear there are no others
But you, but you, but you, but you, but you

Baby",Tracy Chapman,Pop
Taken,"TAKEN

Should I try to take you in?
Another fool brought to the fold
With not a gaze or arms
but deathlike grip to hold
To hold
To hold
To hold

Should I try to take you in?
And hope for the perfect docile pet
Hope that you'll not defile or wreck my home
Sweet home
Sweet home
Sweet home

Here there's only faith no doubt
You can be taken anywhere
Here is where you choose the place
With pleasure and pain in equal share
A refuge for truth and deceit
Where all who come are taken in

Should I try to take you in?
Pretending what you have not felt
In passion sorrow sleep or death eyes closed
Eyes closed
Eyes closed
Eyes closed

Here there's only faith no doubt
You can be taken anywhere
Here is where you choose the place
With pleasure and pain in equal share
A refuge for truth and deceit
Where all who come are taken in

Should I try to take you in
Who'll pity me if I forget?
It's said to be and not to be in love
Is to regret
Regret
Regret
Regret

Here there's only faith no doubt
You can be taken anywhere
Here is where you choose the place
With pleasure and pain in equal share
A refuge for truth and deceit
Where all who come are taken in

Should I try to take you in
Who'll pity me in my regret?
For those who've never been in love
Need not forget
Forget
Forget

© 2001 Tracy Chapman",Tracy Chapman,Pop
Talk To You,"Gotta talk to you baby
Talk to you now
Maybe it's too late
You're slamming the door
You're walking out

I got a feeling
Feelings don't lie
Don't let the words escape me now
Escape me now
Escape me now

Gotta talk to you baby
Talk to you now
Say it isn't too late
You'll see me again
We'll work it out

I got a feeling
Feelings don't lie
Don't let the words escape me now
Escape me now
Escape me now

Gotta talk to you baby
Talk to you now
Say it isn't too soon
You'll see me again
We'll sort it out

I got a feeling
Feelings don't lie
Don't let the words escape me now
Escape me now
Escape me now",Tracy Chapman,Pop
Tell It Like It Is,"Say it say it say it Tell it like it is
Say it say it say it Tell it like it is
What breaks your heart
What keeps you awake at night
What makes you want to breakdown and cry
But say you'll never turn your back
Say you'll never harden to the world
Say you'll never try to still the rhythms in your breast
Say you'll never look at the evil among us and try to forget
Say you'll tell it like it is
Say it say it say it so everyone can hear
Say it say it say it tell it like it is
What breaks your hear
What keeps you awake at night
How your anger and grief
Make you want to cry out
And tell it like it is
But say you'll never close your eyes
Or pretend that it's a rosy world
Say you'll never try to paint
What is rotten with a sugarcoat
Say you'll talk about the horrors you've seen and the torment you know
And tell it like it is

Say it say it say it
So no one can forget
Say it say it say it Tell it like it is
What breaks your heart
What keeps you awake at night
What makes you want to break the ties that silence and bind
And tell it like it is
Say you'll never cover your ears and close your mouth
And live in a silent world
Say you'll only run as far or as fast as you need to be secure
Say that then you'll tell the truth
When a lie could cross your lips
And tell it like it is

Say it say it say it - Say it say it say it
Say it say it say it - Say it say it say it
Say it say it say it - Say it say it say it
Say it say it say it - Say it say it say it",Tracy Chapman,Pop
Telling Stories,"There is fiction in the space between
The lines on your page of memories
Write it down but it doesn't mean
You're not just telling stories

There is fiction in the space between
You and reality
You will do and say anything
To make your everyday life seem less mundane
There is fiction in the space between
You and me

There's a science fiction in the space between
You and me
A fabrication of a grand scheme
Where I am the scary monster
I eat the city and as I leave the scene
In my spaceship I am laughing
In your remembrance of your bad dream
There's no one but you standing

Leave the pity and the blame
For the ones who do not speak
You write the words to get respect and compassion
And for posterity
You write the words and make believe
There is truth in the space between

There is fiction in the space between
You and everybody
Give us all what we need
Give us one more sad sordid story
But in the fiction of the space between
Sometimes a lie is the best thing
Sometimes a lie is the best thing",Tracy Chapman,Pop
The First Person on Earth,"From the water
From the rock
And the dirt
You were
The first person
On Earth

Oh the mountains
And the oceans
Wiynessed
Your birth
The first person
On Earth

By a river
On the banks
Of a sandy shore
Untouched clean
Fresh and pure
The first person
On Earth

In the light
Of the sun
You emerged
To see the good
In the world
Before the pain
And the scourge
The first person
On Earth

In the quiet
In the calm
Before
The storm
You heard
The dream
For a love
That never dies
In a poem
The first person
On Earth

And I'm in love
With you
I'm in love
With a dream
That can not be
Realized
Held or seen
By
The last person
On Earth

After
The earthquakes
The hurricanes
The fires
And floods
I'm
Jaded cynical
Angry and glum
The worlds
Too absurd
And obscene
For true love
And more
Than happy
To let me become
The last person
On Earth

To let me stand
On a rock
The Muddy Waters
Surround
Abandoned alone
The end
Soon to come
As the last person
On Earth

As
The waters rise
At the end
Of the world
Thought I bear
The weight
Of the rock
And the dirt
I know
I'm worthy
Of your love
As
The last person
On the Earth

As the water rise
At the end
Of the world
Thought I bear
The weight
Of the rock
And the dirt
I know
I'm worthy
Of your love
As the last person
On the Earth",Tracy Chapman,Pop
The Love That You Had,"The love that you had
In your heart is gone
Any touch of sincerity
Any trace of compassion

What hardened your heart?
What turned it to stone?
What made you forget?
You were in love with someone

Your hands don't reach out
Your voice doesn't call me
I know you've stopped listening
Your eyes look straight through me

If nights are like this
I'd rather be alone
Who said you could forget
You were in love with someone?

Tell me what hardened your heart
Tell me what turned it to stone
Tell me what made you forget
You were in love with someone

Was I wrong to forgive
Your indiscretions?
Should I have been more hysterical
Less understanding?

If you're looking for a villain
Go on assume the role
But don't say that it's my fault
That you're not in love with someone

Tell me what hardened your heart
Tell me what turned it to stone
Tell me what made you forget
You were in love with someone

Tell me there's someone in your life
I'll fight to keep your for my own
Tell me because I really want to know
Why you can't be in love with someone",Tracy Chapman,Pop
The Only One,"She was the only one
Of my flesh and blood
Now I have no calling
I can do no worldly good

I sit silent
I sit mourning
I sit listless all the day
I've mostly lost the voice to speak
And any words to say except
Does heaven have enough angels yet?

I've gone hard
And I've gone cold
I can't make the piece of this cracked life fit
Please forgive me for wanting to know
Does heaven have enough angels yet?

She was the only one
Of my own flesh and blood
Sometimes I hear her calling
Straight from the house of god",Tracy Chapman,Pop
The Rape Of The World,"Mother of us all
Place of our birth
How can we stand aside
And watch the rape of the wold
This the beginning of the end
This the most heinous of crimes
This the deadliest of sins
The greatest violation of all time
Mother of us all
Place of our birth
We all are witness
To the rape of the world

You've seen her stripped mined
You've heard of bombs exploded underground
You know the sun shines
Hotter than ever before
Mother of us all
Place of our birth
We all are witness
To the rape of the world

Some claim to have crowned her
A queen
With cities of concrete and steel
But there is no glory no honor
In what results
From the rape of the world
Mother of us all
Place of our birth
We all are witness
To the rape of the world

She has been clear-cut
She has been dumped on
She has been poisoned and beaten up
And we have been witness
To the rape of the world
Mother of us all
Place of our birth
How can we stand aside
And watch the rape of the world

If you look you'll see it with your own eyes
If you listen you will hear her cries
If you care you will stand and testify
And stop the rape of the world
Stop the rape of the world
Mother of us all
Mother of us all
Mother of us all
Mother of us all",Tracy Chapman,Pop
Thinking Of You,"I used to think
About what's real and true
What can not be proven
What can be assumed
Once when I was younger
In the bloom of youth
I received an honest answer
When a lie would do

Chorus:
And now all I do is sit
In my darkened room
And on accasion break my silence
To howl at the moon
To curse every nerve
And neuron in my brain
That won't stop the pain I'm feeling
And let me stop thinking

I used to think
Galileo would agree
That the world was round
And you'd come round to me
But I have looked for you
And you're nowhere in sight
The world must be flat
The Babylonians were right

[Chorus]

I used to think
Consider gravity
If I placed you on a pedestal
You'd slip and fall for me
But you floated on the air
Far away at light speed
I guess some objects do defy
The laws that we conceive

[Chorus]

I used to think
It took all my time
Analysing you
Your mind on my mind
Your name my mantra
Repeated on my lips
That once tried to kiss you
A memory unrepressed

[Chorus]

Stop thinking of you
Stop thinking of you
Stop thinking of you",Tracy Chapman,Pop
This Time,"This time
I wont show I'm vulnerable
This time
I won't give in first
This time
I will hold out with my love
This time
I will not be hurt

I'm gonna love myself
More than anyone else
I'm gonna treat me right
I'm gonna make you say
That you love me first
And you'll be the one
with the most to lose tonight

This time
I'm gonna keep my heart locked safe inside
This time
I'm gonna be the one
To win your love
your affection
To hide my fear of rejection
This time
",Tracy Chapman,Pop
Three Little Birds,"Don't worry about a thing
'Cause every little thing gonna be all right
Singin': ""Don't worry about a thing
'Cause every little thing gonna be all right!""

Rise up this mornin'
Smiled with the risin' sun
Three little birds
Pitch by my doorstep
Singin' sweet songs
Of melodies pure and true
Sayin', ""This is my message to you-ou-ou:""

Singin': ""Don't worry 'bout a thing,
'Cause every little thing gonna be all right.""
Singin': ""Don't worry (don't worry) 'bout a thing,
'Cause every little thing gonna be all right!""

Rise up this mornin',
Smiled with the risin' sun,
Three little birds
Pitch by my doorstep
Singin' sweet songs
Of melodies pure and true
Sayin', ""This is my message to you-ou-ou:""

Singin': ""Don't worry about a thing, worry about a thing, oh!
Every little thing gonna be all right",Tracy Chapman,Pop
Unsung Psalm,"There would be psalms sung by a choir
I would have a white robe a halo newly acquired
I'd be at peace and I'd have no desire
If I'd lived right

There would be cherubs with tiny harps arrows and bows
I'd have a halo and a flowing white robe
I'd be enfolded by a celestial light
If I'd lived right

But I'm feeling hot and bothered under the collar
I feel the sweat breaking out on my brow
I feel the heat and I know it's the passion
The love I can't disavow

If this is a dream wake me up now
If this is a movie let's edit these scenes out
It would be a PG instead of an X-rated life
If I'd lived right

Some would call me a cheat call me a liar
Say that I've been defeated by the basest desires
Yes I have strayed and succumbed to my vices
But I tried to live right

But I have no regrets no guilts in my heart
I only feel sadness for any pain that I've caused
I guess I wouldn't bother to worry at all
If I'd lived right

Do you live by the book do you play by the rules?
Do you care what is thought by others about you?
If this day is all that is promised to you
Do you live for the future the present the past?

If there is one thing I know I know I will die
If anyone cares some stranger may critique my life
I may be revered or defamed and decried
But I tried to live right

There would be psalms sung by a choir
I would have a white robe a halo newly acquired
I'd be at peace and I'd have no desire
If I'd lived right",Tracy Chapman,Pop
Wedding Song,"I've been having dreams and visions
In them you are always standing
Right beside me
I reach out for your hand
To see your arms extending
outstretched towards me

For you I don the veil
By your light
Others pale by comparison
I place my faith in love
My fate in this communion

I've been having dreams and visions
In them you are always standing
Right beside me
I reach out for your hand
To see your arms extending
Outstretched towards me

To you I give my pledge
I honor all that's good
In this life we're living
To think not only of myself
But of the greater union

Can I get a witness
There is salvation and rapture for the lonely
Can I get a witness
Bless this day sacred and holy
Sacred and Holy

I've been having dreams and visions
In them you are always standing
Right beside me
I reach out for your hand
To see your arms extending
Outstretched towards me

With you I am revealed
All my shame all my faults and virtues
Behold body mind and spirit
Heart and soul devoted all to you

Can I get a witness
Bless this day sacred and holy
Sacred and Holy",Tracy Chapman,Pop
Woman's Work,"Early in the morning she rises
The woman's work is never done
And it's not because she doesn't try
She's fighting a battle with no one on her side

She rises up in the morning
And she works 'til way past dusk
The woman better slow down
Or she's gonna come down hard

Early in the morning she rises
The woman's work is never done",Tracy Chapman,Pop
You're The One,"Some say you're crazy
Say that you're no good
Say your family's cursed with bad blood
But I think you're cute and misunderstood
And I wouldn't change you if I could

Let'em talk you down
Call you names
My mind's made up
It ain't gonna change
I'm sure in my heart
Happy and free
You're the one you're the one
You're the one for me

Some say you're bitter
Think you're mean
Uncouth untamed and unrestrained
But I think you're sensitive and sweet
Stay as you are don't change a thing

Let'em talk you down
Call you names
My mind's made up
It ain't gonna change
I'm sure in my heart
Happy and free
You're the one you're the one
You're the one for me

Some say you're bawdy
Wicked and wild
A restless useless juvenile
But I think you're funny and I like your smile
Want to be with you want you to stay awhile

Let'em talk you down
Call you names
My mind's made up
It ain't gonna change
I'm sure in my heart
Happy and free
You're the one you're the one
You're the one for me

A no 'count mixed up
Amount to nothing
A day away from a bum on the street
Some low class kind of royalty
That's what they say about you
When they're talking to me

Some say you're bad
A bad bad seed
You love to play with fire you love gambling
But I know what you love and I know what you need
And I like it when you play with me

Let'em talk you down
Call you names
My mind's made up
It ain't gonna change
I'm sure in my heart
Happy and free
You're the one you're the one
You're the one for me

I'm sure in my heart
Happy and free
You're the one you're the one
You're the one for me



/lovelydoll",Tracy Chapman,Pop
One Of Us,"If God had a name what would it be?
And would you call it to his face?
If you were faced with Him in all His glory
What would you ask if you had just one question?

Yeah, yeah, God is great
Yeah, yeah, God is good
Yeah, yeah, yeah-yeah-yeah

What if God was one of us?
Just a slob like one of us
Just a stranger on the bus
Tryin' to make his way home?

If God had a face what would it look like?
And would you want to see, if seeing meant
That you would have to believe in things like heaven
And in Jesus and the saints, and all the prophets?

Yeah, yeah, God is great
Yeah, yeah, God is good
Yeah, yeah, yeah-yeah-yeah

What if God was one of us?
Just a slob like one of us
Just a stranger on the bus
Tryin' to make his way home?

Tryin' to make his way home?

Back up to heaven all alone
Nobody calling on the phone
'Cept for the Pope maybe in Rome

Yeah, yeah, God is great
Yeah, yeah, God is good
Yeah, yeah, yeah-yeah-yeah

What if God was one of us?
Just a slob like one of us
Just a stranger on the bus
Tryin' to make his way home
Like a holy rolling stone
Back up to heaven all alone
No, just tryin' to make his way home
Nobody calling on the phone
Cept for the Pope maybe in Rome",Joan Osborne,Pop
I'll Be Around,"Originally recorded by The Spinners in 1973. The song was
Written by Thom Bell and Phil Hurtt.


This, is our fork in the road
Love's last episode
There's nowhere to go, oh no

You made your choice, now it's up to me
To bow out gracefully
Though you hold the key, but baby

Whenever you call me, I'll be there
Whenever you want me, I'll be there
Whenever you need me, I'll be there
I'll be around

I, knew just what to say
Now I found out today
That all the words had slipped away, but I know

There's always a chance
A tiny spark remains, yeah
And sparks turn into flames
And love can burn once again, but I know you know

Whenever you call me, I'll be there
Whenever you want me, I'll be there
Whenever you need me, I'll be there
I'll be around...yeah

Whenever you call me, I'll be there
Whenever you want me, I'll be there
Even if I have to call, I'll be there
I'll be around

Just call me at home, I'll be there
I'll never leave you alone, I'll be there
Just call out your name you know I know you know
I'll be around
",Joan Osborne,Pop
Love and Hate,"Love and hate
Their turns, they wait
When next I come to Orchart Street
I'll use my key
I'll enter soft on stocking feet to see
If you have told the truth to me

Hate and love
They push, they shove
They use my life just like a toy
They take my mind
They must enjoy their puppet on a wire
Until I'm nothing but desire

Love and hate
We meet, we mate
We give ourselves to fantasies
Of who we wish our loves could be
And sometimes in the dark
We accidentally find a heart",Joan Osborne,Pop
Kiss And Say Goodbye,"I had to meet you here today
There's just so many things to say
Please don't stop me 'til I'm through
This is something I hate to do
We've been meeting here so long
I guess what we done, oh was wrong
Please darlin', don't you cry
Let's just kiss and say goodbye

Many months have passed us by
(I'm gonna miss you)
I'm gonna miss you, I can't lie
(I'm gonna miss you)
I've got ties, and so do you
I just think this is the thing to do
It's gonna hurt me, I can't lie
Maybe i'll meet, i'll meet another guy
Understand me, won't you try, try, try, try, try, try, try
Let's just kiss and say goodbye (Goodbye)

We've been meeting here so long
I guess what we done, oh was wrong
Please darlin', don't you cry
Let's just kiss and say goodbye

(I'm gonna miss you)
I'm gonna miss you, I can't lie
(I'm gonna miss you)
Understand me, won't you try
(I'm gonna miss you)
Let's kiss and say goodbye
(I'm gonna miss you)
Understand me, won't you try
(I'm gonna miss you)
Let's just kiss
And say goodbye",Joan Osborne,Pop
Let's Just Get Naked,"I know what you're hidin' from me
You know what I'm hidin' from you
I know that you hurt me real bad
You know that I hurt you bad too

Let's just get naked
Just for a laugh
Let's just get naked
It's a trip and a half

Here comes that story again
All about that television show
Here comes my typical response
Won't you tell me something I don't know
And I'm pissed off about bein' on cops
And you're pissed off about bein' a maid
And how long till they shut off the phone
Till the next time we get laid

Let's just get naked
Just for a laugh
Let's just get naked
It's a trip and a half...
A trip and a half

We've been together so long
I hope it wasn't just the drugs
What happened to the energy we had
The morning glories and the rodeo hugs
And I know you like the back of my hand
With a stamp that says I paid to get in
And yes I am your television show
And you're the nicest place I've ever been

Let's just get naked
Just for a laugh
Let's just get naked
It wouldn't be so bad...
Let's just get naked
Just for a laugh
Let's just get naked
It's a trip and a half...
",Joan Osborne,Pop
Whole Wide World,"Just let me look into your eyes again
You know I've always been your home

We may be down but we can rise again
You've got to know you're not alone

Now we're home free
Now we're home free

We could see the whole wide world from here
Lookin' past the sorrow and the tears
Let me take you to that better place
Let me put that smile back on your face

Don't let them tell you that you don't belong
This life was made for me and you

We may be parted child but not for long
One day these troubles will be through

Now we're home free
Now we're home free

We could see the whole wide world from here
Lookin' past the anger and the fear
Let me take you to that better place
Let me put that smile back on your face

We could see the whole wide world from here
Lookin' past the sorrow and the tears
Let me take you to that better place
Let me put that smile back on your face
We could see the whole wide world from here
Lookin' past the anger and the fear
Let me take you to that better place
Let me put that smile back on your face",Joan Osborne,Pop
4 Camels,"August in the city 90 degrees
The streets are full of arms and legs
The audience is hangin' on the corner
Just waitin' for some bones to beg
The sniper and the moving target
I can't talk talk talk until my face turn blue
Hey girl, you, girl put that right here
This what I'll do to you
But I live, I live, I live on this street
The dogs are speakin' the men are howlin'
When we take our parts out for a walk
I could say, I should say, I would say
Does your mama know about the way you talk
Somewhere in Egypt I'm worth 4 camels
A strong healthy girl like me
On 42nd Street it's a quarter to look
But the women outside are free
But I live, I live, I love on this street
He's the ruler of the pavement
He owns all that he can see
On 42nd Street it's a quarter to look
But the women outside are free
I live, I live, I love on this street
REPEAT THREE TIMES

",Joan Osborne,Pop
After Jane,"I can't laugh
I can't moan
I can't leave myself alone
After Jane
After Jane

I was hers
She was mine
We were together all the time
Oh, my Jane
Oh, my Jane

Maybe it's the right thing, and maybe it's wrong
You know I lay awake and wonder all night long
Maybe it's over and maybe we're free
You know this lonely feelin' is drownin' me

Will I rise up again?
Will I ever know a friend, like my Jane?
Oh, my Jane

Maybe it's the right thing and maybe it's wrong
You know I lay awake and wonder all night long
Maybe it's over and maybe it's not
You know this lonely feelin' is all I got

Will I rise up again?
Will I ever know a friend, like my Jane?
Oh, my Jane

After Jane
After Jane
Oh, my Jane
Oh, my Jane
After Jane",Joan Osborne,Pop
